"Statistic Label","Year","Type of Hospital","ICD 10 Diagnostic Group","UNIT","VALUE"
"Psychiatric In-patients (Number)","2019","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","2"
"Psychiatric In-patients (Number)","2019","Private hospitals","Other and unspecified","Number","83"
"Psychiatric In-patients (Number)","2019","Private hospitals","All disorders","Number","626"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Organic mental disorders","Number","1"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","Number","79"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Depressive disorders","Number","4"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Mania","Number","9"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Personality and behavioural disorders","Number","2"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Alcoholic disorders","Number","1"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Development disorders","Number","5"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Other and unspecified","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","All disorders","Number","102"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Mania","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Intellectual disability","Number","67"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Other and unspecified","Number","3"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","All disorders","Number","70"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","Number","7"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Mania","Number","2"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Intellectual disability","Number","1"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Other and unspecified","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","All disorders","Number","10"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Organic mental disorders","Number","181"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","Number","682"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Depressive disorders","Number","233"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Mania","Number","135"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Neuroses","Number","76"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Personality and behavioural disorders","Number","73"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Alcoholic disorders","Number","52"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Other drug disorders","Number","31"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Eating disorders","Number","23"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Intellectual disability","Number","85"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Development disorders","Number","10"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","1"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Other and unspecified","Number","244"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","All disorders","Number","1826"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Organic mental disorders","Number","39"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","Number","229"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Depressive disorders","Number","104"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Mania","Number","76"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Neuroses","Number","30"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Personality and behavioural disorders","Number","29"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Alcoholic disorders","Number","7"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Other drug disorders","Number","20"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Eating disorders","Number","7"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Intellectual disability","Number","4"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Development disorders","Number","3"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","Number","1"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Other and unspecified","Number","79"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","All disorders","Number","628"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Organic mental disorders","Number","84"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","Number","286"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Depressive disorders","Number","41"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Mania","Number","29"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Neuroses","Number","13"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","Number","18"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Alcoholic disorders","Number","11"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Other drug disorders","Number","1"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Eating disorders","Number","1"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Intellectual disability","Number","13"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Development disorders","Number","2"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Other and unspecified","Number","68"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","All disorders","Number","567"
"Psychiatric In-patients (Number)","2020","Private hospitals","Organic mental disorders","Number","57"
"Psychiatric In-patients (Number)","2020","Private hospitals","Schizophrenia, schizotypal and delusional disorders","Number","81"
"Psychiatric In-patients (Number)","2020","Private hospitals","Depressive disorders","Number","84"
"Psychiatric In-patients (Number)","2020","Private hospitals","Mania","Number","19"
"Psychiatric In-patients (Number)","2020","Private hospitals","Neuroses","Number","32"
"Psychiatric In-patients (Number)","2020","Private hospitals","Personality and behavioural disorders","Number","24"
"Psychiatric In-patients (Number)","2020","Private hospitals","Alcoholic disorders","Number","33"
"Psychiatric In-patients (Number)","2020","Private hospitals","Other drug disorders","Number","10"
"Psychiatric In-patients (Number)","2020","Private hospitals","Eating disorders","Number","15"
"Psychiatric In-patients (Number)","2020","Private hospitals","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2020","Private hospitals","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2020","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2020","Private hospitals","Other and unspecified","Number","94"
"Psychiatric In-patients (Number)","2020","Private hospitals","All disorders","Number","449"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Organic mental disorders","Number","2"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","Number","73"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Depressive disorders","Number","4"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Mania","Number","8"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Personality and behavioural disorders","Number","2"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Alcoholic disorders","Number","1"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Other drug disorders","Number","1"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Development disorders","Number","5"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Other and unspecified","Number","1"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","All disorders","Number","98"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Mania","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Intellectual disability","Number","61"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Other and unspecified","Number","3"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","All disorders","Number","64"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","Number","3"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Mania","Number","1"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Other drug disorders","Number","1"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Other and unspecified","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","All disorders","Number","6"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Organic mental disorders","Number","149"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","Number","713"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Depressive disorders","Number","250"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Mania","Number","150"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Neuroses","Number","94"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Personality and behavioural disorders","Number","63"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Alcoholic disorders","Number","59"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Other drug disorders","Number","33"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Eating disorders","Number","27"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Intellectual disability","Number","73"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Development disorders","Number","10"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","1"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Other and unspecified","Number","249"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","All disorders","Number","1871"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Organic mental disorders","Number","24"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","Number","280"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Depressive disorders","Number","134"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Mania","Number","92"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Neuroses","Number","38"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Personality and behavioural disorders","Number","33"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Alcoholic disorders","Number","19"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Other drug disorders","Number","25"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Eating disorders","Number","8"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Intellectual disability","Number","2"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Development disorders","Number","2"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","Number","1"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Other and unspecified","Number","53"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","All disorders","Number","711"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Organic mental disorders","Number","77"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","Number","277"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Depressive disorders","Number","30"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Mania","Number","36"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Neuroses","Number","8"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","Number","15"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Alcoholic disorders","Number","6"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Other drug disorders","Number","1"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Eating disorders","Number","1"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Intellectual disability","Number","10"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Development disorders","Number","2"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Other and unspecified","Number","89"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","All disorders","Number","552"
"Psychiatric In-patients (Number)","2021","Private hospitals","Organic mental disorders","Number","46"
"Psychiatric In-patients (Number)","2021","Private hospitals","Schizophrenia, schizotypal and delusional disorders","Number","80"
"Psychiatric In-patients (Number)","2021","Private hospitals","Depressive disorders","Number","82"
"Psychiatric In-patients (Number)","2021","Private hospitals","Mania","Number","13"
"Psychiatric In-patients (Number)","2021","Private hospitals","Neuroses","Number","46"
"Psychiatric In-patients (Number)","2021","Private hospitals","Personality and behavioural disorders","Number","13"
"Psychiatric In-patients (Number)","2021","Private hospitals","Alcoholic disorders","Number","33"
"Psychiatric In-patients (Number)","2021","Private hospitals","Other drug disorders","Number","5"
"Psychiatric In-patients (Number)","2021","Private hospitals","Eating disorders","Number","18"
"Psychiatric In-patients (Number)","2021","Private hospitals","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2021","Private hospitals","Development disorders","Number","1"
"Psychiatric In-patients (Number)","2021","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2021","Private hospitals","Other and unspecified","Number","103"
"Psychiatric In-patients (Number)","2021","Private hospitals","All disorders","Number","440"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Organic mental disorders","Number","1"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","Number","74"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Depressive disorders","Number","3"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Mania","Number","10"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Personality and behavioural disorders","Number","2"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Alcoholic disorders","Number","1"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Development disorders","Number","5"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Other and unspecified","Number","1"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","All disorders","Number","98"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Mania","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Intellectual disability","Number","54"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Other and unspecified","Number","2"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","All disorders","Number","56"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","Number","3"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Mania","Number","1"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Other and unspecified","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","All disorders","Number","4"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Organic mental disorders","Number","141"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","Number","725"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Depressive disorders","Number","277"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Mania","Number","150"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Neuroses","Number","75"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Personality and behavioural disorders","Number","60"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Alcoholic disorders","Number","57"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Other drug disorders","Number","28"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Eating disorders","Number","23"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Intellectual disability","Number","63"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Development disorders","Number","9"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Other and unspecified","Number","305"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","All disorders","Number","1913"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Organic mental disorders","Number","26"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","Number","275"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Depressive disorders","Number","152"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Mania","Number","89"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Neuroses","Number","36"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Personality and behavioural disorders","Number","35"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Alcoholic disorders","Number","17"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Other drug disorders","Number","18"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Eating disorders","Number","6"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Intellectual disability","Number","3"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Development disorders","Number","2"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Other and unspecified","Number","85"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","All disorders","Number","744"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Organic mental disorders","Number","71"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","Number","291"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Depressive disorders","Number","42"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Mania","Number","36"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Neuroses","Number","9"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","Number","11"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Alcoholic disorders","Number","6"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Other drug disorders","Number","5"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Eating disorders","Number","1"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Intellectual disability","Number","6"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Development disorders","Number","2"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Other and unspecified","Number","75"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","All disorders","Number","555"
"Psychiatric In-patients (Number)","2022","Private hospitals","Organic mental disorders","Number","43"
"Psychiatric In-patients (Number)","2022","Private hospitals","Schizophrenia, schizotypal and delusional disorders","Number","82"
"Psychiatric In-patients (Number)","2022","Private hospitals","Depressive disorders","Number","80"
"Psychiatric In-patients (Number)","2022","Private hospitals","Mania","Number","14"
"Psychiatric In-patients (Number)","2022","Private hospitals","Neuroses","Number","29"
"Psychiatric In-patients (Number)","2022","Private hospitals","Personality and behavioural disorders","Number","12"
"Psychiatric In-patients (Number)","2022","Private hospitals","Alcoholic disorders","Number","33"
"Psychiatric In-patients (Number)","2022","Private hospitals","Other drug disorders","Number","5"
"Psychiatric In-patients (Number)","2022","Private hospitals","Eating disorders","Number","16"
"Psychiatric In-patients (Number)","2022","Private hospitals","Intellectual disability","Number","0"
