"Statistic Label","Year","Type of Hospital","Socio Economic Group","UNIT","VALUE"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Unspecified","Number","426"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","All socio-economic groups","Number","628"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Farmers","Number","26"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Agricultural workers","Number","8"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Higher professional","Number","6"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Lower professional","Number","28"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Employers & managers","Number","3"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Non-manual","Number","51"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Manual skilled","Number","14"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Semi-skilled","Number","16"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Unskilled","Number","51"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","Unspecified","Number","364"
"Psychiatric In-patients (Number)","2020","Psychiatric hospitals/continuing care units","All socio-economic groups","Number","567"
"Psychiatric In-patients (Number)","2020","Private hospitals","Farmers","Number","4"
"Psychiatric In-patients (Number)","2020","Private hospitals","Agricultural workers","Number","1"
"Psychiatric In-patients (Number)","2020","Private hospitals","Higher professional","Number","17"
"Psychiatric In-patients (Number)","2020","Private hospitals","Lower professional","Number","39"
"Psychiatric In-patients (Number)","2020","Private hospitals","Employers & managers","Number","23"
"Psychiatric In-patients (Number)","2020","Private hospitals","Own account workers","Number","2"
"Psychiatric In-patients (Number)","2020","Private hospitals","Non-manual","Number","47"
"Psychiatric In-patients (Number)","2020","Private hospitals","Manual skilled","Number","14"
"Psychiatric In-patients (Number)","2020","Private hospitals","Semi-skilled","Number","10"
"Psychiatric In-patients (Number)","2020","Private hospitals","Unskilled","Number","1"
"Psychiatric In-patients (Number)","2020","Private hospitals","Unspecified","Number","291"
"Psychiatric In-patients (Number)","2020","Private hospitals","All socio-economic groups","Number","449"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Farmers","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","Unspecified","Number","98"
"Psychiatric In-patients (Number)","2021","Central Mental Hospital, Dublin","All socio-economic groups","Number","98"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Farmers","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","Unspecified","Number","64"
"Psychiatric In-patients (Number)","2021","St Joseph's Intellectual Disability Service","All socio-economic groups","Number","64"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Farmers","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","Unspecified","Number","6"
"Psychiatric In-patients (Number)","2021","Carraig Mór, Cork","All socio-economic groups","Number","6"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Farmers","Number","29"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Agricultural workers","Number","4"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Higher professional","Number","39"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Lower professional","Number","104"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Employers & managers","Number","29"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Own account workers","Number","6"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Non-manual","Number","130"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Manual skilled","Number","41"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Semi-skilled","Number","60"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Unskilled","Number","66"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","Unspecified","Number","1363"
"Psychiatric In-patients (Number)","2021","Total psychiatric hospitals","All socio-economic groups","Number","1871"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Farmers","Number","5"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Higher professional","Number","14"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Lower professional","Number","27"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Employers & managers","Number","4"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Own account workers","Number","3"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Non-manual","Number","45"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Manual skilled","Number","19"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Semi-skilled","Number","31"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Unskilled","Number","33"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","Unspecified","Number","530"
"Psychiatric In-patients (Number)","2021","General hospital psychiatric units","All socio-economic groups","Number","711"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Farmers","Number","20"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Agricultural workers","Number","3"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Higher professional","Number","6"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Lower professional","Number","24"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Employers & managers","Number","4"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Non-manual","Number","29"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Manual skilled","Number","13"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Semi-skilled","Number","15"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Unskilled","Number","31"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","Unspecified","Number","407"
"Psychiatric In-patients (Number)","2021","Psychiatric hospitals/continuing care units","All socio-economic groups","Number","552"
"Psychiatric In-patients (Number)","2021","Private hospitals","Farmers","Number","4"
"Psychiatric In-patients (Number)","2021","Private hospitals","Agricultural workers","Number","1"
"Psychiatric In-patients (Number)","2021","Private hospitals","Higher professional","Number","19"
"Psychiatric In-patients (Number)","2021","Private hospitals","Lower professional","Number","53"
"Psychiatric In-patients (Number)","2021","Private hospitals","Employers & managers","Number","21"
"Psychiatric In-patients (Number)","2021","Private hospitals","Own account workers","Number","3"
"Psychiatric In-patients (Number)","2021","Private hospitals","Non-manual","Number","56"
"Psychiatric In-patients (Number)","2021","Private hospitals","Manual skilled","Number","9"
"Psychiatric In-patients (Number)","2021","Private hospitals","Semi-skilled","Number","14"
"Psychiatric In-patients (Number)","2021","Private hospitals","Unskilled","Number","2"
"Psychiatric In-patients (Number)","2021","Private hospitals","Unspecified","Number","258"
"Psychiatric In-patients (Number)","2021","Private hospitals","All socio-economic groups","Number","440"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Farmers","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","Unspecified","Number","98"
"Psychiatric In-patients (Number)","2022","Central Mental Hospital, Dublin","All socio-economic groups","Number","98"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Farmers","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","Unspecified","Number","56"
"Psychiatric In-patients (Number)","2022","St Joseph's Intellectual Disability Service","All socio-economic groups","Number","56"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Farmers","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Non-manual","Number","2"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Semi-skilled","Number","1"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","Unspecified","Number","1"
"Psychiatric In-patients (Number)","2022","Carraig Mór, Cork","All socio-economic groups","Number","4"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Farmers","Number","34"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Agricultural workers","Number","5"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Higher professional","Number","49"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Lower professional","Number","96"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Employers & managers","Number","37"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Own account workers","Number","6"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Non-manual","Number","131"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Manual skilled","Number","47"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Semi-skilled","Number","54"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Unskilled","Number","58"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","Unspecified","Number","1396"
"Psychiatric In-patients (Number)","2022","Total psychiatric hospitals","All socio-economic groups","Number","1913"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Farmers","Number","12"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Agricultural workers","Number","1"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Higher professional","Number","16"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Lower professional","Number","28"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Employers & managers","Number","6"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Own account workers","Number","4"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Non-manual","Number","51"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Manual skilled","Number","24"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Semi-skilled","Number","26"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Unskilled","Number","24"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","Unspecified","Number","552"
"Psychiatric In-patients (Number)","2022","General hospital psychiatric units","All socio-economic groups","Number","744"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Farmers","Number","17"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Agricultural workers","Number","3"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Higher professional","Number","6"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Lower professional","Number","26"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Employers & managers","Number","3"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Own account workers","Number","1"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Non-manual","Number","28"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Manual skilled","Number","12"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Semi-skilled","Number","15"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Unskilled","Number","26"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","Unspecified","Number","418"
"Psychiatric In-patients (Number)","2022","Psychiatric hospitals/continuing care units","All socio-economic groups","Number","555"
"Psychiatric In-patients (Number)","2022","Private hospitals","Farmers","Number","5"
"Psychiatric In-patients (Number)","2022","Private hospitals","Agricultural workers","Number","1"
"Psychiatric In-patients (Number)","2022","Private hospitals","Higher professional","Number","27"
"Psychiatric In-patients (Number)","2022","Private hospitals","Lower professional","Number","42"
"Psychiatric In-patients (Number)","2022","Private hospitals","Employers & managers","Number","28"
"Psychiatric In-patients (Number)","2022","Private hospitals","Own account workers","Number","1"
"Psychiatric In-patients (Number)","2022","Private hospitals","Non-manual","Number","50"
"Psychiatric In-patients (Number)","2022","Private hospitals","Manual skilled","Number","11"
"Psychiatric In-patients (Number)","2022","Private hospitals","Semi-skilled","Number","12"
"Psychiatric In-patients (Number)","2022","Private hospitals","Unskilled","Number","8"
"Psychiatric In-patients (Number)","2022","Private hospitals","Unspecified","Number","271"
"Psychiatric In-patients (Number)","2022","Private hospitals","All socio-economic groups","Number","456"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Farmers","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Higher professional","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Lower professional","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Employers & managers","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Own account workers","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Non-manual","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Manual skilled","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Semi-skilled","%","12.9"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Unskilled","%","0"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","Unspecified","%","87.1"
"Psychiatric In-patients (%)","2013","Central Mental Hospital, Dublin","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Farmers","%","1.5"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Higher professional","%","2.3"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Lower professional","%","0.7"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Employers & managers","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Own account workers","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Non-manual","%","10"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Manual skilled","%","1.5"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Unskilled","%","1.5"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","Unspecified","%","82.3"
"Psychiatric In-patients (%)","2013","St Joseph's Intellectual Disability Service","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Farmers","%","13.8"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Higher professional","%","5.5"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Lower professional","%","2.7"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Employers & managers","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Own account workers","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Non-manual","%","27.7"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Manual skilled","%","5.5"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Semi-skilled","%","11.1"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Unskilled","%","33.3"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","Unspecified","%","0"
"Psychiatric In-patients (%)","2013","Carraig Mór, Cork","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Farmers","%","4"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Agricultural workers","%","0.8"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Higher professional","%","2.9"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Lower professional","%","6"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Employers & managers","%","2.4"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Own account workers","%","1.1"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Non-manual","%","14.4"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Manual skilled","%","6.8"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Semi-skilled","%","6.8"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Unskilled","%","7.8"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","Unspecified","%","46.5"
"Psychiatric In-patients (%)","2013","Total psychiatric hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Farmers","%","3"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Agricultural workers","%","0.2"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Higher professional","%","1.9"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Lower professional","%","6.1"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Employers & managers","%","4"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Own account workers","%","0.9"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Non-manual","%","18.5"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Manual skilled","%","8.5"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Semi-skilled","%","8.6"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Unskilled","%","9.4"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","Unspecified","%","38.4"
"Psychiatric In-patients (%)","2013","General hospital psychiatric units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Farmers","%","6.4"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Agricultural workers","%","1.7"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Higher professional","%","0.8"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Lower professional","%","3.1"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Employers & managers","%","0.4"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Own account workers","%","0.8"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Non-manual","%","8.3"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Manual skilled","%","7.2"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Semi-skilled","%","8.1"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Unskilled","%","10.7"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","Unspecified","%","52"
"Psychiatric In-patients (%)","2013","Psychiatric hospitals/continuing care units","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2013","Private hospitals","Farmers","%","2"
"Psychiatric In-patients (%)","2013","Private hospitals","Agricultural workers","%","0.5"
"Psychiatric In-patients (%)","2013","Private hospitals","Higher professional","%","7.8"
"Psychiatric In-patients (%)","2013","Private hospitals","Lower professional","%","12.7"
"Psychiatric In-patients (%)","2013","Private hospitals","Employers & managers","%","4.3"
"Psychiatric In-patients (%)","2013","Private hospitals","Own account workers","%","2.2"
"Psychiatric In-patients (%)","2013","Private hospitals","Non-manual","%","20.9"
"Psychiatric In-patients (%)","2013","Private hospitals","Manual skilled","%","6.6"
"Psychiatric In-patients (%)","2013","Private hospitals","Semi-skilled","%","3.1"
"Psychiatric In-patients (%)","2013","Private hospitals","Unskilled","%","2.7"
"Psychiatric In-patients (%)","2013","Private hospitals","Unspecified","%","36.7"
"Psychiatric In-patients (%)","2013","Private hospitals","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Farmers","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Higher professional","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Lower professional","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Employers & managers","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Own account workers","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Non-manual","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Manual skilled","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Unskilled","%","0"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","Unspecified","%","100"
"Psychiatric In-patients (%)","2016","Central Mental Hospital, Dublin","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Farmers","%","1.9"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Higher professional","%","1"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Lower professional","%","1"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Employers & managers","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Own account workers","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Non-manual","%","7.8"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Manual skilled","%","1.9"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Semi-skilled","%","0"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Unskilled","%","1"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","Unspecified","%","85.4"
"Psychiatric In-patients (%)","2016","St Joseph's Intellectual Disability Service","All socio-economic groups","%","100"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Farmers","%","15"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Agricultural workers","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Higher professional","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Lower professional","%","5"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Employers & managers","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Own account workers","%","5"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Non-manual","%","30"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Manual skilled","%","15"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Semi-skilled","%","5"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Unskilled","%","25"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","Unspecified","%","0"
"Psychiatric In-patients (%)","2016","Carraig Mór, Cork","All socio-economic groups","%","100"
